undefined | 2021-08-19T23:39:16.385Z | undefined 
::1 | 2021-08-23T17:41:26.475Z | /static/src/instagram.ico 
::1 | 2021-08-23T17:41:26.476Z | /static/src/Y.ico 
::1 | 2021-08-23T17:41:30.412Z | /login/createUser 
::1 | 2021-08-23T17:42:16.856Z | /img/Pig5Logo.png 
::1 | 2021-08-23T17:42:18.563Z | /login/logUser 
::1 | 2021-08-23T17:42:51.955Z | /login/logUser 
::1 | 2021-08-23T17:43:53.468Z | /login/logUser 
::1 | 2021-08-23T17:43:59.882Z | /login/logUser 
::1 | 2021-08-23T17:44:03.285Z | /login/logUser 
::1 | 2021-08-23T17:44:15.031Z | /login/logUser 
::1 | 2021-08-23T17:44:28.463Z | /login/logUser 
::1 | 2021-08-23T17:44:31.916Z | /img/Pig5Logo.png 
::1 | 2021-08-23T17:44:32.174Z | /login/logUser 
::1 | 2021-08-23T17:45:59.149Z | /login/logUser 
::1 | 2021-08-23T17:48:24.508Z | /img/Pig5Logo.png 
::1 | 2021-08-23T17:48:25.848Z | /login 
::1 | 2021-08-23T17:48:25.977Z | /css/login.css 
::1 | 2021-08-23T17:48:25.999Z | /css/flickity.css 
::1 | 2021-08-23T17:48:26.010Z | /css/header.css 
::1 | 2021-08-23T17:48:26.018Z | /css/footer.css 
::1 | 2021-08-23T17:48:26.019Z | /flickity.css 
::1 | 2021-08-23T17:48:26.097Z | /js/login.js 
::1 | 2021-08-23T17:48:26.100Z | /img/Pig5Logo.png 
::1 | 2021-08-23T17:48:26.168Z | /img/iconesHeader/favoritos.png 
::1 | 2021-08-23T17:48:26.172Z | /img/iconesHeader/Sacola.png 
::1 | 2021-08-23T17:48:26.174Z | /static/src/cartao1.jpg 
::1 | 2021-08-23T17:48:26.176Z | /static/src/cartao2.jpg 
::1 | 2021-08-23T17:48:26.178Z | /static/src/talao.jpg 
::1 | 2021-08-23T17:48:26.203Z | /static/src/boleto.jpg 
::1 | 2021-08-23T17:48:26.216Z | /static/src/paypal.jpg 
::1 | 2021-08-23T17:48:26.218Z | /static/src/whatsappfaleconosco.jpg 
::1 | 2021-08-23T17:48:26.233Z | /static/src/twitter.ico 
::1 | 2021-08-23T17:48:26.236Z | /static/src/facebook.ico 
::1 | 2021-08-23T17:48:26.239Z | /static/src/instagram.ico 
::1 | 2021-08-23T17:48:26.253Z | /static/src/Y.ico 
::1 | 2021-08-23T17:48:29.322Z | /login/logUser 
::1 | 2021-08-23T17:48:57.701Z | /login/logUser 
::1 | 2021-08-23T17:51:19.586Z | /login/logUser 
::1 | 2021-08-23T17:51:23.633Z | /login/logUser 
::1 | 2021-08-23T17:53:45.533Z | /login/logUser 
::1 | 2021-08-23T17:53:51.042Z | /login/logUser 
::1 | 2021-08-23T22:25:03.663Z | /login/ 
::1 | 2021-08-23T22:25:03.783Z | /login/flickity.css 
::1 | 2021-08-23T22:25:03.786Z | /css/login.css 
::1 | 2021-08-23T22:25:03.787Z | /css/flickity.css 
::1 | 2021-08-23T22:25:03.789Z | /css/header.css 
::1 | 2021-08-23T22:25:03.797Z | /css/footer.css 
::1 | 2021-08-23T22:25:03.898Z | /js/login.js 
::1 | 2021-08-23T22:25:03.900Z | /img/Pig5Logo.png 
::1 | 2021-08-23T22:25:03.921Z | /img/iconesHeader/favoritos.png 
::1 | 2021-08-23T22:25:03.924Z | /img/iconesHeader/Sacola.png 
::1 | 2021-08-23T22:25:03.926Z | /static/src/cartao1.jpg 
::1 | 2021-08-23T22:25:03.927Z | /static/src/cartao2.jpg 
::1 | 2021-08-23T22:25:03.942Z | /static/src/talao.jpg 
::1 | 2021-08-23T22:25:03.948Z | /static/src/boleto.jpg 
::1 | 2021-08-23T22:25:03.971Z | /static/src/paypal.jpg 
